Judul;label
"jurnal ini masuk dalam ketegor database sstim operasi dan jaringan karena membahas mengenai SQL yang merupakan sebuah bahasa yang digunakan untuk mengakses data dalam basis data relasional. Bahasa ini secara de facto merupakan bahasa standar yang digunakan dalam manajemen basis data relasional. Saat ini hampir semua server basis data yang ada mendukung bahasa ini untuk melakukan manajemen datanya.
";Database dan Sistim Retrieval Informasi
"Desain Sistem Rumah Cerdas berbasis Topologi Mesh dan
Protokol Wireless Sensor Network yang Efisien";Sistim Operasi dan Jaringan
Desain Wide Area Monitoring Pada Sistem Tenaga Listrik Menggunakan Least Square Support Vector Regression ;Artificial Intelligance dan Robotik
Deteksi Batik Bojonegoro Menggunakan Metode Gray Level Co-occurrence Matrix (glcm) Dan Naive Bayes;Grafik
"Deteksi Glaukoma pada Citra Fundus Retina
dengan Metode K-Nearest Neighbor";Grafik
DETEKSI KEMERAHAN PADA KULIT WAJAH DENGAN TEKNIK PENGOLAHAN CITRA;Grafik
"RANCANG BANGUN PERANGKAT SORTASI TOMAT BERDASAR SENSOR
BERAT TIPE STRAIN GAUGE DAN PENGOLAHAN CITRA WARNA";Grafik
"DETEKSI TEPI CITRA DAUN MANGGA MENGGUNAKAN
ALGORITMA ANT COLONY OPTIMIZATION";Grafik
Deteksi Tepi pada Citra Digital  menggunakan Metode Kirsch dan Robinson;Grafik
Implementasi Metode Laplacian of Gaussian Dalam Deteksi Tepi Citra Gigi Berlubang;Grafik
DISTRIBUSI JARINGAN MENGGUNAKAN ROUTING OSPF DENGAN METODE REDISTRIBUTION;Sistim Operasi dan Jaringan
KOMPARASI PERFORMA METODE 6TO4 DAN KOMBINASI L2TP/IPSEC UNTUK IMPLEMENTASI IPV6 PADA JARINGAN KOMPUTER;Sistim Operasi dan Jaringan
EKSPLOITASI RPC PADA SISTEM OPERASI WINDOWS;Sistim Operasi dan Jaringan
EKSTRAKSI CIRI GRAY LEVEL CO-OCCURRENCE MATRIX  DAN PROBABILISTIC NEURAL NETWORK  UNTUK PENGENALAN CACAT PENGELASAN;Grafik
EKSTRASI TEKSTUR CITRA  MENGGUNAKAN LOCAL BINARY PATTERN  UNTUK IDENTIFIKASI PENYAKIT TANAMAN PADI DAN ANTHURIUM BERBASIS WEBSITE ;Grafik
"Ektraksi Fitur Citra Paru-Paru Menggunakan Gray Level Co-ocurance
Matriks";Grafik
ENERAPAN GEOMETRIC MEAN FILTER UNTUK MEREDUKSI NOISE SPECKLE DAN SALT AND PEPPER PADA CITRA ORTOKROMATIK;Grafik
"Analisis Dan Perbandingan Metode Sobel Edge Detection Dan Prewit
Pada Deteksi Tepi Citra Daun Srilangka
";Grafik
Evaluasi Penggunaan Animasi dengan Blender pada Materi Komputasi Paralel;Algoritma dan Struktur Data
Failover Gateway Menggunakan Protokol Virtual Router Redundancy Protocol (VRRP) pada Mikrotik Router;Sistim Operasi dan Jaringan
FUNGSI HASH BERBASIS TEORI GRAF: SEBUAH SURVEI;Database dan Sistim Retrieval Informasi
FUZZY MULTIPLE ATTRIBUTE DECISION MACKING (FMADM) BERDASARKAN METODE ORESTE UNTUK MENENTUKAN LOKASI PROMOSI (STUDI KASUS: STMIK BUDI DARMA MEDAN);Artificial Intelligance dan Robotik
GABUNGAN ALGORITMA VERNAM CHIPER DAN END OF FILE UNTUK KEAMANAN DATA;Algoritma dan Struktur Data
Implementasi Komputasi Paralel Dengan Compute Unified Device Architecture (CUDA) Untuk Perhitungan Simple Linear Regression;Algoritma dan Struktur Data
HASIL PENGENALAN CITRA WAJAH DITINJAU DARI JARAK PIKSEL PADA GRAY LEVEL COOCCURRENCE MATRIX DAN PROBABILISTIC NEURAL NETWORK;Grafik
IDENTIFIKASI BIBIT PADA TANAMAN LAHAN GAMBUT BERDASARKAN BENTUK DAUN MENGGUNAKAN METODE PROBABILISTIK NEURAL NETWORK (PNN) BERBASIS WEBSITE (UMUR BIBIT 2 BULAN-1 TAHUN) ;Grafik
Identifikasi Citra Daun Menggunakan Morfologi, Local Binary Patterns dan Convex Hulls ;Grafik
IDENTIFIKASI DAGING SAPI DAN DAGING BABI MENGGUNAKAN  FITUR EKSTRAKSI GREY LEVEL CO-OCCURRENCE MATRIX   DAN K-NEAREST NEIGHBOR CLASSIFIER ;Grafik
IDENTIFIKASI FASE PENYEMBUHAN LUKA BERBASIS CITRA ;Grafik
Identifikasi Gejala Penyakit Padi Menggunakan Operasi Morfologi Citra;Grafik
IDENTIFIKASI HAMA TANAMAN CABAI DENGAN MEMBANDINGKAN PRINCIPAL COMPONENT ANALYSIS DAN GRAY LEVEL CO-OCCURRENCE MATRIX SEBAGAI EKSTRAKSI CIRI ;Grafik
IDENTIFIKASI JENIS KAYU BERBASIS CITRA MENGGUNAKAN PROBABILISTIC NEURAL NETWORK (PNN) ;Grafik
IDENTIFIKASI MACAN TUTUL DENGAN METODE GREY LEVEL COOCURENT MATRIX ( GLCM) ;Grafik
Identifikasi Penyakit Cabai Berdasarkan Gejala Bercak Daun dan Penampakan Conidia Menggunakan Probabilistic Neural Network ;Grafik
IDENTIFIKASI PENYAKIT PADA TANAMAN TOMAT BERDASARKAN WARNA DAN BENTUK DAUN DENGAN METODE NAIVE BAYES CLASSIFIER BERBASIS WEB;Grafik
Identifikasi Tanaman Kamboja menggunakan Ekstraksi Ciri Citra Daun dan Jaringan Syaraf Tiruan;Grafik
Identifikasi Tumbuhan Obat Herbal Berdasarkan Citra Daun Menggunakan Algoritma Gray Level Co-occurence Matrix dan K-Nearest Neighbor;Grafik
IDENTIFIKASI VARIETAS BERDASARKAN WARNA DAN TEKSTUR PERMUKAAN BERAS MENGGUNAKAN PENGOLAHAN CITRA DIGITAL DAN JARINGAN SYARAF TIRUAN;Grafik
Image Processing dan Artifical Neural Network Untuk Mengenali Nomor Induk Kependudukan Pada KTP Sebagai Pendukung Layanan Mandiri di Kantor Desa;Grafik
IMPELEMTASI METODE TRANSFORMASI TOP-HAD DAN BOTTOM HAD UNTUK PENINGKATAN KUALITAS CITRA CT SCAN;Grafik
Implementasi  Learning Vektor Quantization (LVQ) dalam Mengidentifikasi Citra Daging Babi dan Daging Sapi ;Grafik
Implementasi Algoritma Apriori dan FP-Growth Untuk Menentukan Persediaan Barang;Artificial Intelligance dan Robotik
IMPLEMENTASI ALGORITMA APRIORI PADA SISTEM PERSEDIAAN BUAH-BUAHAN (STUDI KASUS : LOTTE MART WHOLESALE MEDAN);Artificial Intelligance dan Robotik
Implementasi Algoritma Base64 untuk Mengamakan SMS pada Smartphone;Algoritma dan Struktur Data
IMPLEMENTASI ALGORITMA BUBBLE SORT DAN SELECTION SORT MENGGUNAKAN ARRAYLIST MULTIDIMENSI PADA PENGURUTAN DATA MULTI PRIORITAS;Database dan Sistim Retrieval Informasi
"IMPLEMENTASI ALGORITMA CAESAR CIPHER DAN HILL
CIPHER PADA DATABASE SISTEM INVENTORI TB MITA JEPAR";Algoritma dan Struktur Data
IMPLEMENTASI ALGORITMA CANNY DAN BACKPROPAGATION UNTUK MENGKLASIFIKASI JENIS TANAMAN MANGGA;Grafik
Implementasi Algoritma ECDH dan AES untuk Pengamanan Pesan SMS pada Telepon Seluler;Algoritma dan Struktur Data
IMPLEMENTASI ALGORITMA FP-GROWTH MENGGUNAKAN ASSOCIATION RULE PADA MARKET BASKET ANALYSIS ;Artificial Intelligance dan Robotik
"Perbandingan Route Redistribute Protokol Routing Dinamik Pada IPv6 ( Studi Kasus :
EIGRP untuk IPv6 dengan OSPFv3 dan EIGRP dengan ISIS pada IPv6)";Sistim Operasi dan Jaringan
IMPLEMENTASI ALGORITMA GALIL SEIFERAS PADA APLIKASI LYRIC SEARCH BERBASIS ANDROID;Database dan Sistim Retrieval Informasi
IMPLEMENTASI ALGORITMA GENERATE AND TEST PADA PENCARIAN RUTE TERPENDEK;Database dan Sistim Retrieval Informasi
"Implementasi Algoritma Genetika Pada Aplikasi
Penjadwalan Perkuliahan Berbasis Web Dengan
Mengadopsi Model Waterfall
(Studi Kasus: STMIK Prabumulih)";Database dan Sistim Retrieval Informasi
"IMPLEMENTASI ALGORITMA HILL CIPHER DALAM
PENYANDIAN DATA";Algoritma dan Struktur Data
IMPLEMENTASI ALGORITMA HILL CLIMBING DAN ALGORITMA A* DALAM PENYELESAIAN PENYUSUNAN SUKU KATA DASAR DENGAN POLA PERMAINAN BINTANG KEJORA;Artificial Intelligance dan Robotik
IMPLEMENTASI ALGORITMA KRIPTOGRAFI AES UNTUK ENKRIPSI DAN DEKRIPSI EMAIL;Algoritma dan Struktur Data
Implementasi Algoritma Kriptografi RC4 Pada DSP TMS320C6713 Sebagai Pendukung Sekuritas Jaringan Komunikasi Voice over Internet Protocol (VoIP);Algoritma dan Struktur Data
IMPLEMENTASI ALGORITMA KRIPTOGRAFI RSA PADA SURATELEKTRONIK (E-Mail);Algoritma dan Struktur Data
RANKINGINDEX BERITA NEW NORMALDENGAN METODE INFORMATION RETRIEVALMENGGUNAKAN VECTOR SPACE MODEL;Database dan Sistim Retrieval Informasi
Implementasi Algoritma Route Cipher Dalam Pengamanan File Pdf;Algoritma dan Struktur Data
"Implementasi Algoritma Sequential Searching
Pada Sistem Pelayanan Puskesmas
Menggunakan Bootstrap (Studi Kasus
Puskesmas Kampung Bali Bengkulu)
";Database dan Sistim Retrieval Informasi
"IMPLEMENTASI ALGORITMA SEQUENTIAL
SEARCHING UNTUK PENCARIAN NOMOR
SURAT PADA SISTEM ARSIP ELEKTRONIK";Database dan Sistim Retrieval Informasi
Implementasi Algoritme K-Means Sebagai Metode Segmentasi Citra Dalam Identifikasi Penyakit Daun Jeruk;Grafik
Navigasi robot bergerak berdasarkan landmark garis menggunakankontroler Braitenbergdan pengolahan citra;Grafik
"IMPLEMENTASI BASIS DATA TERDISTRIBUSI
MENGGUNAKAN MYSQL PADA PT THAMRIN BROTHERS
PALEMBANG";Database dan Sistim Retrieval Informasi
Implementasi Basisdata Terdistribusi Pada Sistem Kenaikan Gaji Berkala Dinas Infokom Provinsi Maluku;Database dan Sistim Retrieval Informasi
