judul;label
BASIS DATA TERDISTRIBUSI PADA PENJUALAN HASIL PRODUKSI DI TOKO CLOTHING V-CASTRO;database dan sistim retrieval informasi
KOMPARASI ALGORITMA KLASIFIKASI TEXT MINING UNTUK ANALISIS SENTIMEN PADA REVIEW RESTORAN;artificial intelligance dan robotik
RANCANG BANGUN MULTIMEDIA PEMBELAJARAN BERBASIS MODEL COOPERATIVE LEARNING TIPE TEAM ASSISTED INDIVIDUALIZATION MATERI MANAJEMEN MEMORI UNTUK MENINGKATKAN HASIL BELAJAR MAHASISWA;sistem operasi dan jaringan
IMPORTANCE PERFORMANCE ANALYSIS (IPA) UNTUK MENGETAHUI KEPUASAN PELAYANAN MELALUI KUALITAS LAYANAN ASTON BRAGA HOTEL & RESIDANCE BANDUNG 2018;database dan sistim retrieval informasi
IDENTIFIKASI MACAN TUTUL DENGAN METODE GREY LEVEL COOCURENT MATRIX ( GLCM);grafik
Gabungkan, Sortir Penggabungan-Penyisipan, Sortir Penggabungan-Seleksi, Penggantian, Algoritma Penyortiran;database dan sistim retrieval informasi
Analisis dan Perancangan Sistem Informasi Manajemen Penjadwalan Praktikum MenggunakanAlgoritma Genetika di LaboratoriumFakultas Teknologi PertanianUniversitas Jambi;sistem operasi dan jaringan
Artificial Intelligence (AI) Susun Angka Bentuk Kotak 4 X 4 Menggunakan Pencarian Heuristik Dengan Algoritma Bfs;artificial intelligance dan robotik
ANALISIS SISTEM KEAMANAN PADA SISTEM OPERASI MICROSOFT WINDOWS, LINUX DAN MACINTOSH;sistem operasi dan jaringan
EKSTRAKSI CIRI GRAY LEVEL CO-OCCURRENCE MATRIX DAN PROBABILISTIC NEURAL NETWORK UNTUK PENGENALAN CACAT PENGELASAN;grafik
OPTIMASI PENJADWALAN MATA KULIAH MENGGUNAKAN METODEALGORITMA GENETIKA DENGAN TEKNIK TOURNAMENT SELECTION;sistem operasi dan jaringan
PERBANDINGAN ISOLATION LEVEL PADA TRANSAKSI KARTU RENCANA STUDI (KRS) (STUDI PADA KRS ONLINE UNIVERSITAS XYZ);database dan sistim retrieval informasi
Identifikasi Tumbuhan Obat Herbal Berdasarkan Citra Daun Menggunakan Algoritma Gray Level Co-occurence Matrix dan K-Nearest Neighbor;grafik
IMPLEMENTASI SISTEM KEAMANAN FILE DENGAN METODE STEGANOGRAFI EOF DAN ENKRIPSI CAESAR CIPHER;algoritma dan struktur data
Implementasi Algoritma Apriori dan FP-Growth Untuk Menentukan Persediaan Barang;artificial intelligance dan robotik
Information Retrieval dengan Menggunakan Metode Latent Semantik Indexing (LSI) pada Proses Searching dan Klasifikasi Buku: Studi Kasus Perpustakaan STMIK Bumigora;database dan sistim retrieval informasi
OPTIMALISASI PENJADWALAN PEMADAMAN HOTSPOTKEBAKARAN HUTAN DAN LAHAN MENGGUNAKANALGORITMA GENETIK;sistem operasi dan jaringan
ALGORITMA ROUTING DI LINGKUNGAN JARINGAN GRID MENGGUNAKANTEORI GRAF;algoritma dan struktur data
Rancang Bangun Pembelajaran Jaringan Server dengan Sistem Server Cloud Virtual (Hypervisor);sistem operasi dan jaringan
Perbandingan Efisiensi, Efektifitas dan Kualitas Algoritma Rijndael dengan Algoritma Camellia pada Citra Digital;grafik
KERNEL-BASED VIRTUAL MACHINE UNTUK VIRTUALISASI DATABASE SEBAGAI SOLUSI KEBUTUHAN PERANGKAT KERAS STUDI KASUS IMPLEMENTASI SISTEM INFORMASI KLINIK KECANTIKAN;sistem operasi dan jaringan
PENGUKURAN PROBABILITAS KEBANGKRUTAN OBLIGASI PERUSAHAAN DENGAN MODEL FIRST PASSAGE TIME;algoritma dan struktur data
PREDIKSI HARGA CRUDE PALM OIL MENGGUNAKAN METODE SUPPORT VECTOR MACHINE DENGAN OPTIMASI PARAMETER MENGGUNAKAN ALGORITMA GENETIKA;artificial intelligance dan robotik
Penggunaan Algoritma Kriptografi SteganografiLeast Significant Bit Untuk Pengamanan PesanTeks dan Data Video;algoritma dan struktur data
Prediksi Kepribadian Big 5 Pengguna Twitter dengan Support Vector Regression;artificial intelligance dan robotik
Aplikasi Prediksi Pola Pembelian Customer dengan Metode Market Basket Analysis pada PT. Capella Medan;artificial intelligance dan robotik
ANALISIS LIVE FORENSICS UNTUK PERBANDINGAN APLIKASI INSTANT MESSENGER PADA SISTEM OPERASI WINDOWS 10;sistem operasi dan jaringan
Implementasi Sistem Terdistribusi Load Balancing Haproxy dan Replikasi MySQL;database dan sistim retrieval informasi
PERANCANGAN, IMPLEMENTASI, DAN ANALISIS KINERJA VIRTUALISASISERVER MENGGUNAKAN PROXMOX, VMWARE ESX, DAN OPENSTACK;sistem operasi dan jaringan
Analisis Kinerja Metode Support Vector Regression (SVR) dalam Memprediksi Indeks Harga Konsumen;artificial intelligance dan robotik
SIMULASI PEMROSESAN TRANSAKSI BASIS DATA DENGAN STUDI KASUS SISTEM REKENING PERBANKAN DATABASE TRANSACTION PROCESSING SIMULATION WITH BANKING ACCOUNT SYSTEM CASE STUDY;database dan sistim retrieval informasi
APLIKASI KAMUS ISTILAH NEUROLOGY BERBASIS MOBILE MENGGUNAKAN METODE SEQUENTIAL SEARCH;database dan sistim retrieval informasi
APLIKASI ALGORITMA BELLMAN – FORD DALAM MEMINIMUMKAN BIAYA OPERASIONAL RUTE PENERBANGAN;algoritma dan struktur data
PENERAPAN WEB SERVICE PADA APLIKASI SISTEM AKADEMIK PADAPLATFORM SISTEM OPERASI MOBILE ANDROID;sistem operasi dan jaringan
Desain Wide Area Monitoring Pada Sistem Tenaga Listrik Menggunakan Least Square Support Vector Regression;artificial intelligance dan robotik
APLIKASI KAMUS BAHASA BETAWI BERBASIS ANDROID MENGGUNAKANMETODE SEQUENCIAL SEARCH;database dan sistim retrieval informasi
Pengenalan Wajah dengan Matriks Kookurensi Aras Keabuan dan Jaringan Syaraf Tiruan Probabilistik;grafik
Identifikasi Penyakit Cabai Berdasarkan Gejala Bercak Daun dan Penampakan Conidia Menggunakan Probabilistic Neural Network;grafik
Implementasi Sistem Penjadwalan Akademik Fakultas Teknik Universitas Tanjungpura Menggunakan Metode Algoritma Genetika;sistem operasi dan jaringan
APLIKASI ALGORITMA GREEDY PADA PERSOALAN PEWARNAAN GRAF;algoritma dan struktur data
MENGHITUNG RUTE TERPENDEK MENGGUNAKAN ALGORITMA A* DENGAN FUNGSI EUCLIDEAN DISTANCE;artificial intelligance dan robotik
PERANCANGAN APLIKASI PENGAMANAN PESAN DENGANALGORITMA CAESAR CHIPER;algoritma dan struktur data
Perancangan Supply chain Management (SCM) berbasis mobile dalam Distribusi Pupuk Organik Hydrasil;algoritma dan struktur data
KLASIFIKASI JENIS DAGING BERDASARKAN TEKSTUR MENGGUNAKAN METODE GRAY LEVEL COOCURENT MATRIX;grafik
NETWORKING OPERATING SYSTEM (NOS) BERBASIS SIMULASI MULTIMEDIA;sistem operasi dan jaringan
Implementasi Learning Vektor Quantization (LVQ) dalam Mengidentifikasi Citra Daging Babi dan Daging Sapi;grafik
ANALISIS LIVE FORENSICS UNTUK PERBANDINGAN KEMANANAN EMAIL PADA SISTEM OPERASI PROPRIETARY;sistem operasi dan jaringan
Implementasi Metode Selection Sort Untuk Menentukan Barang Yang Harus Di Stok Ulang Dalam Sistem Informasi Penjualan;database dan sistim retrieval informasi
IMPLEMENTASI ALGORITMA FUZZY EVOLUSI PADA PENJADWALAN PERKULIAHAN;sistem operasi dan jaringan
ANALISIS DAN IMPLEMENTASI CITRA WATERMARKING DENGAN METODE DISCRETE WAVELET TRANSFORM (DWT) – LIFTING WAVELET TRANSFORM (LWT) DAN SINGULAR VALUE DECOMPOSISITION (SVD);grafik
PENGUJIAN ALGORITMA PEMBAGIAN BEBAN KOMPUTASI VIRTUAL SERVER PADA HAPROXY;sistem operasi dan jaringan
PEMANFAATAN METODE CART UNTUK MEMPREDIKSI OMSET SEPATU PRIA;artificial intelligance dan robotik
ANALISA DESAIN PARALELISASI NEEDLEMEN;algoritma dan struktur data
Segmentasi PSO Pararel GPGPU Untuk Pengenalan CitraAksara Jawa;grafik
ANALISIS TEORI GRAF PADA PERSOALAN KNIGHT’S TOUR DENGAN J2ME;algoritma dan struktur data
SISTEM KLASIFIKASI DAN PENCARIAN JURNAL DENGAN MBNGGUNAKAN METODE NAIVE BAYES DAN VECTOR SPACE MODEL;artificial intelligance dan robotik
Pembuatan Kamus Digital Jawa - Indonesia dengan Metode Sequential Searching;database dan sistim retrieval informasi
ASOSIASI DATA MINING MENGGUNAKAN ALGORITMA FP-GROWTH UNTUK MARKET BASKET ANALYSIS;artificial intelligance dan robotik
Failover Gateway Menggunakan Protokol Virtual Router Redundancy Protocol (VRRP) pada Mikrotik Router;sistem operasi dan jaringan
PERANCANGAN DAN IMPLEMENTASI SISTEM REPLIKASI DATABASE TERDISTRIBUSI PADA FAKULTAS TEKNIK UNIVERSITAS HALU OLEO;database dan sistim retrieval informasi
Klasifikasi Citra Batik Menggunakan Jaringan Syaraf Tiruan Berdasarkan Gray Level CoOccurrence Matrices (GLCM);grafik
ANALISIS KOMBINASI METODE CAESAR CIPHER, VERNAM CIPHER, DAN HILL CIPHER DALAM PROSES KRIPTOGRAFI;algoritma dan struktur data
Analisis kepuasan pemustaka terhadap kualitas layanan perpustakaan di perguruan tinggi vokasi dengan metode Servqual dan Importance-Performace Analysis;database dan sistim retrieval informasi
Metode Segmentasi Paru-paru dan Jantung Pada Citra X-Ray Thorax;grafik
Pemodelan Sistem Data Terdistribusi Untuk Mengintegrasikan Data Akademik Dan Keuangan;database dan sistim retrieval informasi
RANCANG BANGUN SISTEM PENGOLAHAN DATA ANAK PADA PANTI ASUHAN DENGAN METODE SEARCHING (Studi Kasus : LKSA PAY ROHADI KALIWUNGU);database dan sistim retrieval informasi
Membangun Sistem Cloud Computing Dengan Implementasi Load Balancing dan Pengujian Algoritma Penjadwalan Linux Virtual Server Pada FTP Server;sistem operasi dan jaringan
Pengaruh Preprocessing Data pada Metode SVR dalam Memprediksi Permintaan Obat;artificial intelligance dan robotik
Komputasi Penentuan Kualitas pada Fiber Optik Berdasarkan Rugi Daya dengan Gaussian Naive Bayes Menggunakan Teknologi CUDA;artificial intelligance dan robotik
Rancang Bangun Aplikasi Kraepelin Test Berbasis Web Menggunakan Metode Bubble Sort;database dan sistim retrieval informasi
OPTIMASI PENJADWALAN PERAWAT MENGGUNAKANALGORITMA GENETIKA;sistem operasi dan jaringan
PREDIKSI REPLANTING LAHAN KELAPA SAWIT DENGAN MENGGUNAKAN METODE K-NEAREST NEIGHBOR PADA PTPN IV ADOLINA;artificial intelligance dan robotik
ANALISIS DETEKSI TEPI UNTUK MENGIDENTIFIKASI POLA DAUN;grafik
IMPLEMENTASI ALGORITMA KRIPTOGRAFI RSAPADA SURATELEKTRONIK (E-Mail);algoritma dan struktur data
DESAIN SISTEM PENJADWALAN MATA KULIAH MENGGUNAKANBAHASA PEMROGRAMAN PHP/MYSQL(STUDI KASUS : STAIN BUKITTINGGI);sistem operasi dan jaringan
APLIKASI JARINGAN SYARAF TIRUAN UNTUK MERAMALKAN BEBAN PEMAKAIAN AIR PADA PDAM KOTA BANDUNG;algoritma dan struktur data
PENGGUNAAN METODE HILL CLIMBING UNTUK PENCARIAN SEKOLAH DASAR DI KECAMATAN CIMAHI TENGAH;artificial intelligance dan robotik
Analisa Performansi Virtualisasi Web Server pada Cloud Computing;sistem operasi dan jaringan
Segmentasi PSO Pararel GPGPU Untuk Pengenalan CitraAksara Jawa;algoritma dan struktur data
PERANCANGAN DATA WAREHOUSE DAN PENERAPAN DATA MINING PADA DATA PENJUALAN PD XYZ;artificial intelligance dan robotik
PERBANDINGAN ALGORITMA ECLAT DAN FP-GROWTH PADA PENJUALAN BARANG (STUDI KASUS: MINIMARKET 212 MART VETERAN UTAMA);artificial intelligance dan robotik
Desain Sistem Rumah Cerdas berbasis Topologi Mesh danProtokol Wireless Sensor Network yang Efisien;sistem operasi dan jaringan
IDENTIFIKASI FASE PENYEMBUHAN LUKA BERBASIS CITRA;grafik
PENGGUNAANMETODEQUANTITATIVEASSOCIATIONRULES UNTUKMENCARIATURANASOSIATIFDARIDATABASE PENGOBATAN;artificial intelligance dan robotik
KLASIFIKASI BATIK MENGGUNAKAN METODE K-NEAREST NEIGHBOUR BERDASARKAN GRAY LEVEL CO-OCCURRENCE MATRICES (GLCM);grafik
Penentuan Pola Pembelian Konsumen pada Indomaret GKB Gresik dengan Metode FP-Growth;artificial intelligance dan robotik
ANALISIS MORFOLOGI JALAN KOTA DENGAN PENERAPAN TEORI GRAF DOMINATING SET;algoritma dan struktur data
RANCANG BANGUN APLIKASI KRIPTOGRAFI EMAIL GMAIL MENGGUNAKAN ALGORITMA RC4;algoritma dan struktur data
NALISIS KINERJA PACKET FILTERING BERBASIS MIKROTIK ROUTERBOARD PADA SISTEM KEAMANAN JARINGAN;sistem operasi dan jaringan
ANALISA OPTIMALISASI BAHASA SQL BERDASARKAN RELATIONAL ALGEBRA PADA KASUS REKAPITULASI MAHASISWA LAYAK WISUDA;database dan sistim retrieval informasi
ANALISIS ALGORITMA FP-GROWTH UNTUK REKOMENDASI PRODUK PADA DATA RETAIL PENJUALAN PRODUK KOSMETIK (STUDI KASUS : MT SHOP KELAPA GADING);artificial intelligance dan robotik
ANALISA PERANCANGAN APLIKASI PENYANDIAN PESAN PADA EMAIL MENGGUNAKAN ALGORITMA KRIPTOGRAFI BLOWFISH;algoritma dan struktur data
PENGEMBANGAN SISTEM OPERASI BERBASIS OPEN SOURCE DALAM PEMILIHAN PAKET DISTRIBUSI UNTUK MENUNJANG KEGIATAN AKADEMIK DILINGKUNGAN UNSIKA;sistem operasi dan jaringan
Rancang Bangun Sistem Business Intelligence Universitas Sebagai Pendukung Pengambilan Keputusan Akademik;artificial intelligance dan robotik
FUNGSI HASH BERBASIS TEORI GRAF: SEBUAH SURVEI;algoritma dan struktur data
APLIKASI KAMUS NAMA ILMIAH TUMBUHANDAN HEWAN BERBASIS ANDROID DENGANMETODE SEQUENTIAL SEARCHING;database dan sistim retrieval informasi
PENERAPAN METODE HILL CLIMBING SEARCH UNTUK PENCARIAN LOKASI TERDEKAT PADA APLIKASI TOKO VIRTUAL BERBASIS ANDROID;artificial intelligance dan robotik
Implementasi Algoritma Route Cipher Dalam Pengamanan File Pdf;algoritma dan struktur data
ANALISA OPTIMASI BAHASA SQL DENGAN INDEXING PADA KASUS MAHASISWA LAYAK MENERIMA BEASISWA PADA PERGURUAN TINGGI;database dan sistim retrieval informasi
Protokol Routing pada Vanet: Taksonomi dan Analisis Perbandingan antara Dsr, Aodv, dan Tora;sistem operasi dan jaringan
SIMULASI INTERKONEKSI ANTARA AUTONOMOUS SYSTEM (AS)MENGGUNAKAN BORDER GATEWAY PROTOCOL (BGP);sistem operasi dan jaringan
DETEKSI KEMERAHAN PADA KULIT WAJAH DENGAN TEKNIK PENGOLAHAN CITRA;grafik
Simulasi Dan Analisis Kinerja Protokol Ruting Ebgp Pada Sdn (software Defined Network);sistem operasi dan jaringan
Pengolahan Citra Digital Untuk Mendeteksi Obyek Menggunakan Pengolahan Warna Model Normalisasi RGB;grafik
Implementasi Kombinasi Caesar dan Affine Cipher untuk Keamanan Data Teks;algoritma dan struktur data
Implementasi Metode Caesar Chiper Alphabet Majemuk Dalam Kriptografi Untuk Pengamanan Informasi;algoritma dan struktur data
Kriptografi untuk Keamanan PengirimanEmail Menggunakan Blowfish dan RivestShamir Adleman (RSA);algoritma dan struktur data
Penerapan Metode Data Mining Market Basket Analysis Terhadap Data Penjualan Produk Pada Toko Oase Menggunakan Algoritma Apriori;artificial intelligance dan robotik
METODE PENDEKATAN MENGHITUNG AGREGASI QUANTILE PADA SISTEM MANAJEMEN DATA DENGAN MENGGUNAKAN STRUKTUR POHON BINER;database dan sistim retrieval informasi
PERBANDINGAN BUBBLE SORT, SHELL SORT DAN KOMBINASI BUBBLE SORT DENGAN SHELL SORT;database dan sistim retrieval informasi
Implementasi Algoritma Kriptografi RC4 Pada DSP TMS320C6713 Sebagai Pendukung Sekuritas Jaringan Komunikasi Voice over Internet Protocol (VoIP);algoritma dan struktur data
Algoritma Bayesian Network Untuk SimulasiPrediksi Pemenang PILKADA MenggunakanMSBNx;database dan sistim retrieval informasi
PELABELAN HARMONIS GANJIL PADA GABUNGAN GRAF ULAR DAN GRAF ULAR BERLIPAT;algoritma dan struktur data
APLIKASI PENCARI KATA DALAM DATABASE KAMUS BAHASA KUTAI MENGGUNAKAN METODE BINARY SEARCH;database dan sistim retrieval informasi
Kriptografi Email menggunakan Algoritma Rivest Code 6 (Rc6) berbasis Java Pada PT. XYZ;algoritma dan struktur data
Pengembangan Penjadwalan Kuliah Menggunakan Metode : Auto Generate Time Table;sistem operasi dan jaringan
ANALISIS KEPUASAN KONSMEN TERHADAP KUALITAS PELAYANAN DAN HARGA PRODUK PADA SUPERMARKET DENGAN MENGGUNAKAN METODE INPORTANCE PERFORMANCE ANALYSUS (IPA);database dan sistim retrieval informasi
Analisa Metode Gabor dan Propbabilistic Neural Network untuk Klasifikasi Citra (Studi Kasus: Citra Daging Sapi dan Babi);grafik
CASE BASED REASONING UNTUK MENDETEKSI HAMA DAN PENYAKIT TANAMAN ANGGREK DENDROBIUM MENGGUNAKAN ALGORITMA SIMILARITAS PROBABILISTIC SYMMETRIC;artificial intelligance dan robotik
OPTIMASI PENJADWALAN MATA KULIAHDENGAN ALGORITMA GENETIKA(Studi Kasus di AMIK JTC Semarang);sistem operasi dan jaringan
Pengukuran Beban Kerja Mental dalam Searching Task dengan Metode Rating Scale Mental Effort(RSME);database dan sistim retrieval informasi
ANALISIS POLA PEMBELIAN KONSUMEN PADA TRANSAKSI PENJUALAN MENGGUNAKAN ALGORITMA APRIORI;artificial intelligance dan robotik
IMPLEMENTASI ALGORITMA GALIL SEIFERAS PADA APLIKASI LYRIC SEARCH BERBASIS ANDROID;database dan sistim retrieval informasi
Analisis proses perkalian matriks paralel menggunakan MPI berbasiskan PC-cluster homegen;algoritma dan struktur data
APLIKASI KRIPTOGRAFI DENGAN METODEVERNAM CIPHER DAN METODE PERMUTASIBINER;algoritma dan struktur data
KOMBINASI KRIPTOGRAFI CAESAR CIPHER DANSTEGANOGRAFI LEAST SIGNIFICANT BIT (LSB) PADA CITRABERFORMAT BITMAP;algoritma dan struktur data
SUPPORT VECTOR REGRESSION UNTUK PREDIKSI PRODUKTIVITAS KELAPA SAWIT DI PROVINSI RIAU;artificial intelligance dan robotik
Perbaikan Probabilitas Lexical Model Untuk Meningkatkan Akurasi Mesin Penerjemah Statistik;algoritma dan struktur data
IMPLEMENTASI SEQUENTIAL SEARCH UNTUK MONITORING LOG CLIENTPADA SERVER LINUX;database dan sistim retrieval informasi
IMPLEMENTASI ALGORITMA NEAREST NEIGHBOR DALAM MENGUKUR TINGKAT KEPUASAN MASYARAKAT PADA PELAYANAN SAMSAT MEDAN SELATAN;artificial intelligance dan robotik
Ektraksi Fitur Citra Paru-Paru Menggunakan Gray Level Co-ocuranceMatriks;grafik
PENERAPAN SISTEM REPLIKASI DAN INTEGRASI BASIS DATA TERDISTRIBUSI PADA PANGKALAN DATA PENDIDIKAN TINGGI (PDPT);database dan sistim retrieval informasi
Analisa Pola Penjualan Obat Menggunakan Algoritma Apriori Pada Apotek Zam-Zam Bogor;artificial intelligance dan robotik
implementasi metode gaussian filter utuk penghapusan noise pada citra menggunakan GPU;grafik
APLIKASI SISTEM PAKAR DIAGNOSA PENYAKIT GINJAL DENGAN METODE DEMPSTER-SHAFER;artificial intelligance dan robotik
ANALISIS POLA PEMBELIAN KONSUMEN PADA TRANSAKSI PENJUALAN MENGGUNAKAN ALGORITMA APRIORI;artificial intelligance dan robotik
APLIKASI KRIPTOGRAFI FILE MENGGUNAKAN ALGORITMA BLOWFISH;algoritma dan struktur data
Support Vector Machine Untuk Klasifikasi Citra Jenis Daging Berdasarkan Tekstur Menggunakan Ekstraksi Ciri Gray Level Co-Occurrence Matrices (GLCM);grafik
IDENTIFIKASI VARIETAS BERDASARKAN WARNA DAN TEKSTUR PERMUKAAN BERAS MENGGUNAKAN PENGOLAHAN CITRA DIGITAL DAN JARINGAN SYARAF TIRUAN;grafik
IMPLEMENTASI ALGORITMA GENERATE AND TEST PADA PENCARIAN RUTE TERPENDEK;artificial intelligance dan robotik
Perancangan Program Voice Recognition untuk AplikasiSearching Pada World Wide Web denganMetode Hidden Markov Model;database dan sistim retrieval informasi
RANCANGAN CASE-BASED REASONING MENGGUNAKAN SORENSON COEFFICIENT;artificial intelligance dan robotik
METODE LOKALISASI ROBOT OTONOM DENGAN MENGGUNAKAN ADOPSI ALGORITMA HEURISTIC SEARCHING DAN PRUNING UNTUK PEMBANGUNAN PETA PADA KASUS SEARCH-AND-SAFE;database dan sistim retrieval informasi
PENGENALAN CITRA TANDA TANGAN MENGGUNAKAN GRAY LEVEL CO-OCCURRENCE MATRIX (GLCM) DAN PROBABILISTIC NEURAL NETWORK (PNN);grafik
Implementasi Algoritme K-Means Sebagai Metode Segmentasi Citra Dalam Identifikasi Penyakit Daun Jeruk;grafik
Pengenalan Citra Logo Kendaraan Menggunakan Metode Gray Level Co-Occurence Matrix (Glcm) dan Jst-Backpropagation;grafik
STUDI KOMPARASI KLASIFIKASI POLA TEKSTUR CITRA DIGITAL MENGGUNAKAN METODE K-MEANS DAN NAÏVE BAYES;grafik
Implementasi Algoritma Genetika Pada AplikasiPenjadwalan Perkuliahan Berbasis Web DenganMengadopsi Model Waterfall(Studi Kasus: STMIK Prabumulih);sistem operasi dan jaringan
Analisis performasi protokol zigbee pada jaringan wireless personal area network (WPAN);sistem operasi dan jaringan
SISTEM PENJADWALAN OTOMATIS TEMPAT KHUTBAH JUM’AT MUBALIGH1Nuraisyah;sistem operasi dan jaringan
PENERAPAN PEWARNAAN GRAF PADA PENJADWALAN UJIAN MENGGUNAKAN ALGORITMAWELSH POWELL;algoritma dan struktur data
SISTEM IDENTIFIKASI CITRA KAYU BERDASARKAN TEKSTUR MENGGUNAKAN GRAY LEVEL COOCURRENCE MATRIX (GLCM) DENGAN KLASIFIKASI JARAK EUCLIDEAN;grafik
PENERAPAN DATA MINING UNTUK ANALISIS POLA PEMBELIAN KONSUMEN DENGAN ALGORITMA FPGROWTH PADA DATA TRANSAKSI PENJUALAN SPARE PART MOTOR;artificial intelligance dan robotik
Penerapan Algoritma FP-Growth Dalam Penentuan Pola Pembelian Konsumen Pada Kain Tenun Medali Mas;artificial intelligance dan robotik
ANALISIS KINERJA TEKNOLOGI VIRTUALISASI SERVER (STUDY KASUS : UNIVERSITAS ASAHAN);sistem operasi dan jaringan
IMPLEMENTASI DATA MINING DENGAN METODE AlGORITMA C4.5 UNTUK MENENTUKAN TINGKAT KELAYAKAN SEPEDA MOTOR BEKAS YANG AKAN DIJUAL (STUDI KASUS UD.NISA MOTOR);artificial intelligance dan robotik
ANALISIS KUALITAS PELAYANANTERHADAP TINGKAT KEPUASAN KONSUMEN MENGGUNAKANMETODE IMPORTANCE PERFORMANCE ANALYSIS DAN CUSTOMERSATISFACTION INDEX PADA UKM GALLERY;database dan sistim retrieval informasi
Implementasi High Availability Server Dengan Teknik Failover Virtual Computer Cluster;sistem operasi dan jaringan
Segmentasi PSO Pararel GPGPU Untuk Pengenalan CitraAksara Jawa;grafik
Deteksi Batik Bojonegoro Menggunakan Metode Gray Level Co-occurrence Matrix (glcm) Dan Naive Bayes;grafik
Implementasi Metode Gray Level Co-occurrence Matrix dalam Identifikasi Jenis Daun Tengkawang;grafik
ESTIMASI POLA CUACA WILAYAH PEKANBARU MENGGUNAKAN PROBABILISTIC NEURAL NETWORK;grafik
Perbandingan Naive Bayes Classifier Dengan Nearest Neighbor Untuk Identifikasi Penyakit Mata;grafik
IMPLEMENTASI DATA MINING UNTUK PENGENALAN KARAKTERISTIK TRANSAKSI CUSTOMER DENGAN MENGGUNAKAN ALGORITMA C4.5;artificial intelligance dan robotik
SISTEM PENJADWALAN KULIAH MENGGUNAKAN METODE ALGORITMA GENETIKA (STUDI KASUS: FAKULTAS KEDOKTERAN DAN KESEHATAN UNIVERSITAS MUHAMMADIYAH JAKARTA);sistem operasi dan jaringan
Penerapan Data Mining Untuk Analisis Pola Pembelian Produk Pada Clapper Movie Café Menggunakan Metode Association Rule;artificial intelligance dan robotik
Komputasi Penentuan Kualitas pada Fiber Optik Berdasarkan Rugi Daya dengan Gaussian Naive Bayes Menggunakan Teknologi CUDA;algoritma dan struktur data
Perbandingan Kecepatan Gabungan AlgoritmaUtama Quick Sort dan Merge Sort dengan AlgoritmaTambahan Insertion Sort, Bubble Sort dan SelectionSort;database dan sistim retrieval informasi
IMPLEMENTASI KRIPTOGRAFI PADA FILE ATTACHMENT EMAIL MENGGUNAKAN ALGORITMA RIJNDAEL;algoritma dan struktur data
